,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Country,Happiness Score,Local Purchasing Power Index,Cost of Living Index,Capital,Latitude,Longitude,Rank,Crime Index,Safety Index,Normalized Happiness,Normalized Local Purchasing Power,Normalized Safety,"Equally Weighted Safety, Purchasing, and Happiness",Z-Score Happiness Score,Z-Score Safety Index,Z-Score Local Purchasing Power,"Equally Weighted Z-Score Safety, Purchasing, and Happiness"
0,0,0,0,Finland,7821.0,91.02,73.2,Helsinki,60.16666666666666,24.933333,380.3333333333333,27.76333333333333,72.23666666666666,1.0,0.7486709440879926,0.8129082013833658,1.490411998877473,1.8781662026498571,1.1177363940400695,1.6050715663675263,2.711659577546449
1,1,1,1,Denmark,7636.0,99.45,84.12,Copenhagen,55.66666666666666,12.583333,411.0,24.27,75.73,0.9658482554919696,0.8259395050412466,0.8634227460053504,1.536404164581729,1.7053239439150527,1.347331442195695,1.919170642170426,2.899421963527897
2,2,2,2,Iceland,7557.0,77.06,94.86,Reykjavik,64.15,-21.95,421.0,23.02,76.98,0.951264537566919,0.6207149404216316,0.8814980840141712,1.4377865383344248,1.631515628022893,1.429486158854435,1.0849264776120724,2.4253534556148884
3,3,3,3,Switzerland,7512.0,118.44,123.35,Bern,46.91666666666666,7.466667,427.8333333333333,21.156666666666663,78.84333333333333,0.942957356470371,1.0,0.9084423878726532,1.6475545964262788,1.5894729164387515,1.5519514564870631,2.6267319054559617,3.4401595862001715
4,4,4,4,Netherlands,7415.0,87.99,75.66,Amsterdam,52.35,4.916667,385.5,27.235,72.765,0.9250507661067012,0.7208982584784601,0.8205480442484275,1.431332355489734,1.4988475159129353,1.1524604542811638,1.4921747455273382,2.4085876454532227
5,5,5,5,Sweden,7384.0,98.14,71.74,Stockholm,59.333333333333336,18.05,220.4,44.884,55.116,0.9193280413513014,0.8139321723189734,0.5653387318342853,1.351760892489016,1.46988475904386,-0.0074984211669169906,1.870360465503546,2.3788370482460675
6,6,6,6,Norway,7365.0,83.11,100.9,Oslo,59.91666666666666,10.75,361.4,29.610000000000003,70.39,0.9158205648883144,0.6761686526122823,0.786204902031668,1.3834917787346932,1.452133391930556,0.9963664926295579,1.310347522523999,2.195096400019701
7,7,7,7,Israel,7364.0,75.58,88.05,Jerusalem,31.766666666666666,35.233333,364.0,29.906666666666663,70.09333333333332,0.9156359608639468,0.6071494042163152,0.7819150218109077,1.348484598800083,1.4511991094509082,0.9768684398758827,1.0297821558815514,2.029951253766628
8,8,8,8,New Zealand,7200.0,83.63,74.52,Wellington,-41.3,174.783333,259.0,41.27,58.73,0.885360900867639,0.6809349220898258,0.6175981490853878,1.2763086486662742,1.2979767827887034,0.2300272956368317,1.329722554483371,1.8723830690588636
9,9,9,9,Austria,7163.0,77.25,71.04,Vienna,48.2,16.366667,387.0,27.115,72.885,0.8785305519660329,0.6224564619615032,0.8222832766972744,1.3547759094814835,1.2634083310417425,1.1603473070804031,1.092005816212612,2.0334903950195087
10,10,10,10,Australia,7162.0,104.63,77.75,Canberra,-35.266666666666666,149.133333,212.4375,46.27375,53.72625,0.8783459479416651,0.8734188817598533,0.5452425710360783,1.3533815458141163,1.2624740485620949,-0.09883803514810399,2.112175768227249,2.4627009880152064
11,11,11,11,Ireland,7041.0,82.27,76.05,Dublin,53.31666666666667,-6.233333,250.2,42.074,57.926,0.8560088609931696,0.6684692942254812,0.6059720916781145,1.2437059714071834,1.1494258685247365,0.1771853818819305,1.2790493939742438,1.7287399570242976
12,12,12,12,Germany,7034.0,103.08,65.58,Berlin,52.516666666666666,13.4,297.0,36.858,63.142,0.8547166328225956,0.8592117323556371,0.6813968621213217,1.3903549932121488,1.1428858911672035,0.5200005835555205,2.054423269117582,2.407746609554026
13,13,13,13,Canada,7025.0,87.98,70.22,Ottawa,45.41666666666666,-75.7,236.17142857142852,43.21114285714286,56.78885714285714,0.853055196603286,0.7208065994500459,0.5895286984723758,1.2628576359135433,1.1344773488503752,0.10244806249866505,1.491802148758889,1.8769677971680667
14,14,14,14,United Kingdom,6943.0,88.78,69.65,London,51.5,-0.083333,211.8333333333333,46.55277777777778,53.44722222222222,0.837917666605132,0.7281393217231897,0.5412077539183316,1.2349893605816291,1.0578661855192728,-0.1171767935667049,1.521609890234846,1.8569081629084867
15,15,15,15,Belgium,6805.0,79.72,72.61,Brussels,50.833333333333336,4.333333,234.25,43.4025,56.5975,0.8124423112423851,0.6450962419798351,0.5867616224423396,1.1918476715103072,0.9289352033279052,0.08987134901702136,1.1840372180196301,1.5076278071897125
16,16,16,16,France,6687.0,85.41,74.13,Paris,48.86666666666667,2.333333,134.5,53.906666666666666,46.09333333333333,0.7906590363669928,0.697250229147571,0.434868532041549,1.140355310416492,0.8186898707294896,-0.6005021199719233,1.396044779267376,1.7262088304274021
17,17,17,17,Bahrain,6647.0,61.41,54.77,Manama,26.23333333333333,50.566667,432.0,21.06,78.94,0.7832748753922836,0.4772685609532539,0.909840214012002,1.291941958730574,0.781318571543586,1.5583047545753388,0.5018125349886584,1.8139978607051224
18,18,18,18,Slovenia,6630.0,59.48,53.88,Ljubljana,46.05,14.516667,430.0,21.48,78.52,0.7801366069780321,0.4595783684692942,0.9037669004410382,1.2793045034880852,0.7654357693895769,1.530700769778002,0.4299013586779115,1.7645826537323481
19,19,19,19,Costa Rica,6582.0,39.88,47.01,San Jose,9.933333333333334,-84.083333,110.0,55.38,44.62,0.771275613808381,0.2799266727772686,0.4135637336418191,0.91883620758621,0.7205902103664926,-0.6973351460070245,-0.30038830748304096,1.0467854089569602
20,20,20,20,United Arab Emirates,6576.0,92.17,58.33,Abu Dhabi,24.466666666666665,54.366667,448.5,14.825,85.175,0.7701679896621746,0.7592117323556371,1.0,1.4729430358458275,0.7149845154886071,1.9680924812691334,1.647920194739215,2.6646260226241703
21,21,21,21,Saudi Arabia,6523.0,91.85,50.41,Riyadh,24.65,46.7,379.6666666666667,28.516666666666666,71.48333333333333,0.7603839763706849,0.7562786434463794,0.8020147976767166,1.339167246368733,0.6654675440672848,1.0682244848004023,1.6359970981488319,2.064082630924796
22,22,22,22,Singapore,6480.0,91.34,83.98,Singapore,1.2833333333333332,103.85,386.0,27.22,72.78,0.7524460033228725,0.7516040329972503,0.8207649483045334,1.3434056389265454,0.6252933974424384,1.1534463108810686,1.6169946629579095,2.082330897096957
23,23,23,23,Romania,6477.0,48.12,35.24,Bucharest,44.43333333333333,26.1,329.625,32.99625,67.00375,0.7518921912497692,0.3554537121906508,0.7372388113657725,1.1114001411537209,0.6224905500034956,0.7738093652010312,0.0066314297193185425,0.9931361409074788
24,24,24,24,Spain,6476.0,70.04,53.88,Madrid,40.4,-3.683333,328.8888888888889,32.846666666666664,67.15333333333334,0.7517075872254015,0.5563703024747938,0.7394018268141616,1.1921943095251917,0.621556267523848,0.7836405462945275,0.8233635461605476,1.2955123421415309
25,25,25,25,Uruguay,6474.0,30.07,52.07,Montevideo,-34.85,-56.166667,121.0,54.81,45.19,0.751338379176666,0.1900091659028414,0.4218060877738413,0.8823452945610276,0.6196877025645529,-0.659872595210639,-0.6659057373319669,1.1237771761480957
26,26,26,26,Italy,6467.0,61.74,66.47,Rome,41.9,12.483333,203.0,47.11166666666667,52.88833333333333,0.750046151006092,0.4802933088909258,0.5331260694574987,1.038014593895312,0.6131477252070197,-0.153909080215013,0.5141082283474909,0.8148284533285335
27,27,27,28,Lithuania,6446.0,58.74,45.65,Vilnius,54.68333333333333,25.316667,330.6666666666667,33.516666666666666,66.48333333333333,0.7461694664943695,0.4527956003666362,0.7297134456414336,1.1376618307694812,0.5935277931344203,0.7396056181654428,0.40232919781265125,1.0301264461499244
