,Country,Happiness Score,Local Purchasing Power Index,Cost of Living Index,Capital,Latitude,Longitude
0,Finland,7821.0,91.02,73.2,Helsinki,60.16666666666666,24.933333
1,Denmark,7636.0,99.45,84.12,Copenhagen,55.66666666666666,12.583333
2,Iceland,7557.0,77.06,94.86,Reykjavik,64.15,-21.95
3,Switzerland,7512.0,118.44,123.35,Bern,46.91666666666666,7.466667
4,Netherlands,7415.0,87.99,75.66,Amsterdam,52.35,4.916667
5,Sweden,7384.0,98.14,71.74,Stockholm,59.333333333333336,18.05
6,Norway,7365.0,83.11,100.9,Oslo,59.91666666666666,10.75
7,Israel,7364.0,75.58,88.05,Jerusalem,31.766666666666666,35.233333
8,New Zealand,7200.0,83.63,74.52,Wellington,-41.3,174.783333
9,Austria,7163.0,77.25,71.04,Vienna,48.2,16.366667
10,Australia,7162.0,104.63,77.75,Canberra,-35.266666666666666,149.133333
11,Ireland,7041.0,82.27,76.05,Dublin,53.31666666666667,-6.233333
12,Germany,7034.0,103.08,65.58,Berlin,52.516666666666666,13.4
13,Canada,7025.0,87.98,70.22,Ottawa,45.41666666666666,-75.7
14,United Kingdom,6943.0,88.78,69.65,London,51.5,-0.083333
15,Belgium,6805.0,79.72,72.61,Brussels,50.833333333333336,4.333333
16,France,6687.0,85.41,74.13,Paris,48.86666666666667,2.333333
17,Bahrain,6647.0,61.41,54.77,Manama,26.23333333333333,50.566667
18,Slovenia,6630.0,59.48,53.88,Ljubljana,46.05,14.516667
19,Costa Rica,6582.0,39.88,47.01,San Jose,9.933333333333334,-84.083333
20,United Arab Emirates,6576.0,92.17,58.33,Abu Dhabi,24.466666666666665,54.366667
21,Saudi Arabia,6523.0,91.85,50.41,Riyadh,24.65,46.7
22,Singapore,6480.0,91.34,83.98,Singapore,1.2833333333333332,103.85
23,Romania,6477.0,48.12,35.24,Bucharest,44.43333333333333,26.1
24,Spain,6476.0,70.04,53.88,Madrid,40.4,-3.683333
25,Uruguay,6474.0,30.07,52.07,Montevideo,-34.85,-56.166667
26,Italy,6467.0,61.74,66.47,Rome,41.9,12.483333
27,Malta,6447.0,44.18,67.84,Valletta,35.88333333333333,14.5
28,Lithuania,6446.0,58.74,45.65,Vilnius,54.68333333333333,25.316667
29,Slovakia,6391.0,54.7,44.68,Bratislava,48.15,17.116667
30,Estonia,6341.0,63.46,53.68,Tallinn,59.43333333333333,24.716667
31,Panama,6309.0,33.09,51.43,Panama City,8.966666666666667,-79.533333
32,Brazil,6293.0,27.85,33.24,Brasilia,-15.783333333333331,-47.916667
33,Kazakhstan,6234.0,32.23,28.68,Astana,51.16666666666666,71.416667
34,Cyprus,6221.0,57.31,59.03,Nicosia,35.166666666666664,33.366667
35,Latvia,6180.0,51.65,48.45,Riga,56.95,24.1
36,Serbia,6178.0,37.83,36.21,Belgrade,44.833333333333336,20.5
37,Chile,6172.0,33.27,43.9,Santiago,-33.45,-70.666667
38,Nicaragua,6165.0,17.63,39.64,Managua,12.133333333333333,-86.25
39,Mexico,6128.0,38.62,35.35,Mexico City,19.433333333333334,-99.133333
40,Croatia,6125.0,47.55,48.94,Zagreb,45.8,16.0
41,Poland,6123.0,59.95,38.95,Warsaw,52.25,21.0
42,El Salvador,6120.0,21.17,44.37,San Salvador,13.7,-89.2
43,Hungary,6086.0,51.98,40.66,Budapest,47.5,19.083333
44,Mauritius,6071.0,29.62,44.08,Port Louis,-20.15,57.483333
